username,name,gender,age,bio,picture,condition,class
GracieP,Gracie P,,,"15 | lover of good vibes, one day at a time, outgoing with a big heart, just being myself",GracieP.jpg,,
AimeeL,Aimee L,,,Hi This is Aimee with 2 e's | 14| Class of 29'| Save the earth 🌎 | pisces|,AimeeL.jpg,,
ArthurM,Arthur M,,,"My name is Arthur I’m learning how to understand myself better and get through challenges in a healthy way. I enjoy music, being outdoors, and reflecting on how far I’ve come.",ArthurM.jpg,,
AudreyL,Audrey L,,,Senoir/soccer player⚽️/dog lover💕/thrill-seeker/starbucks addict☕️/rom-coms🥰,AudreyL.jpg,,
BrianD,Brian D,,,"Hi, I like doing art and reading, I like eating and I am really nice and so is my art!",BrianD.jpg,,
CallieZ,Callie Z,,,"Vocalist, dancer (I try) ""don't waste time pretending, life's too short to be someone else""",CallieZ.jpg,,
CharlotteS,Charlotte S,,,Charlotte|15|Dog lover🐾|Calm Soul ✨|Social spirit 🌸|Aesthetic-driven mindset 🎨,CharlotteS.jpg,,
EmieY,Emie Y,,,~Sketching lif as I go~ Only need my Z & V,EmieY.jpg,,
HazelS,Hazel S,,,you only live once so live life to the fullest,HazelS.jpg,,
JamesS,James S,,,Natty for life and I am the i in team 💪,JamesS.jpg,,
MarinaT,Marina T,,,im just…a chill guy😏,MarinaT.jpg,,
VioletO,Violet O,,,"Skater :) • if i’m not home im with emmie and zoe • be weird, be you 😝",VioletO.jpg,,
ZoeZ,Zoe Z,,,"""I'm worse at what I do best. And for this gift, I feel blessed"" -Nirvana",ZoeZ.jpg,,
LizzyW,Lizzy W,,,phs ‘27 | pilot | musician!,LizzyW.jpg,,
LucasT,Lucas T,,,"14 y/o male, not very athletic but I love hiking and swimming! I am a competitive Irish Dancer with lots of energy. currently enjoying the single life.  ",LucasT.jpg,,
